DatasetName,Target,Pipeline,EvaluationMetric,Time,Size,Website
spect_train,OVERALL_DIAGNOSIS,"ZS,IQR,fea_null,nor_null,dup_null,out_null,RF",0.9375,0.145166397,"(80, 45)",https
spect_train_binary,OVERALL_DIAGNOSIS,"imp_null,fea_null,ZS,IQR,dup_null,out_null,LDA",0.784615385,0.043535471,"(80, 23)",https
wine,quality,"fea_null,IQR,enc_null,imp_null,dup_null,out_null,RF",0.834558824,0.189982414,"(1599, 12)",https
phishing,class,"ZS,IQR,enc_null,imp_null,dup_null,out_null,RF",0.97195839,0.492106915,"(11054, 32)",https
googleplaystore_reviews,Sentiment,"OE,AD,MEAN,ZS,dup_null,out_null,RF",0.984602224,6.3854568,"(64295, 5)",https
Monkey-Pox PATIENTS,MonkeyPox,"OE,ZS,enc_null,nor_null,dup_null,out_null,LDA",0.6369,0.093076229,"(25000, 11)",https
Bank Loan Defaulter Prediction,Loan Status,"OE,ZS,nor_null,nor_null,dup_null,out_null,LDA",0.908189735,0.804027557,"(67463, 35)",https
Stress-Lysis,Stress Level,"AD,ZS,fea_null,nor_null,dup_null,out_null,NB",0.990024938,0.079797983,"(2001, 4)",https
Bank marketing response predict,y,"IQR,OE,ZS,nor_null,dup_null,out_null,RF",0.786052009,0.689945459,"(12870, 17)",https
telecom_customer_churn,Customer Status,"MEDIAN,OE,ZS,nor_null,dup_null,out_null,RF",0.811340206,0.604788542,"(7043, 36)",https
Bank_Personal_Loan_Modelling,CreditCard,"ZS,fea_null,enc_null,nor_null,dup_null,out_null,RF",0.752,0.481125832,"(5000, 14)",https
heart1,target,"WR,ZS,enc_null,nor_null,dup_null,out_null,LDA",0.838842975,0.027304649,"(303, 14)",https
walmart_cleaned,Type,"ZS,nor_null,enc_null,nor_null,dup_null,out_null,RF",1.0,25.73973846,"(421570, 17)",https
covid-liver,Alive_Dead,"OE,MEDIAN,nor_null,nor_null,dup_null,out_null,RF",0.9,0.11289525,"(450, 27)",https
Cardiovascular Study Dataset,TenYearCHD,"OE,MF,ZS,nor_null,dup_null,out_null,RF",0.859882006,0.33899188,"(3390, 17)",https
classification_in_asteroseismology,POP,"IQR,fea_null,nor_null,nor_null,dup_null,out_null,RF",0.977011494,0.091027975,"(1001, 4)",https
Wine2,Customer_Segment,"imp_null,ZS,nor_null,nor_null,dup_null,out_null,NB",1.0,0.030222654,"(178, 14)",https
covid_data_2020-2021,corona_result,"OE,ZS,nor_null,nor_null,dup_null,out_null,RF",0.920973031,1045.964322,"(5861480, 10)",https
microbes,microorganisms,"IQR,imp_null,nor_null,nor_null,dup_null,out_null,RF",0.999449339,9.144949913,"(30527, 26)",https
Weather,RainTomorrow,"MEDIAN,OE,ZS,nor_null,dup_null,out_null,RF",0.855166849,11.09519434,"(99516, 23)",https
IPL_Auction_2022_FullList,Bid,"IQR,enc_null,nor_null,fea_null,dup_null,out_null,RF",1.0,0.07998395,"(590, 20)",https
credit_card_defaulter,default,"OE,imp_null,nor_null,fea_null,dup_null,out_null,LDA",0.9735,0.027073622,"(10000, 5)",https
riceClassification,Class,"imp_null,ZS,nor_null,fea_null,dup_null,out_null,RF",1.0,1.019708872,"(18185, 12)",https
poker-hand-training,Poker Hand,"IQR,OE,nor_null,fea_null,dup_null,out_null,RF",0.613554578,9.082965136,"(25010, 11)",https
applerevenue,profit or not,"ED,IQR,nor_null,fea_null,dup_null,out_null,RF",0.782634731,2.102896214,"(10559, 7)",https
bank_customer_survey,y,"IQR,OE,ZS,fea_null,dup_null,out_null,RF",0.946240337,1.597802401,"(45211, 17)",https
Breast Cancer Prediction,Class,"AD,ZS,dup_null,fea_null,dup_null,out_null,RF",0.99270073,2.67101717,"(683, 11)",https
UniversalBank,CreditCard,"ZS,fea_null,dup_null,fea_null,dup_null,out_null,NB",0.768,0.022017479,"(5000, 14)",https
new_model,Class,"ZS,imp_null,dup_null,fea_null,dup_null,out_null,RF",1.0,0.179000139,"(400, 14)",https
