DatasetName,Target,Pipeline,EvaluationMetric,Time,Size,Website
Employee Satisfaction Index,satisfied,"imp_null,OE,nor_null,fea_null,dup_null,ZSB,LASSO",0.2437965912891335,0.1519975662231445,"(500, 14)",https
Employee Satisfaction Index_job_level,job_level,"imp_null,OE,nor_null,fea_null,AD,IQR,OLS",0.0802080957464896,11.746100425720217,"(500, 14)",https
Employee Satisfaction Index_rating,rating,"imp_null,OE,nor_null,fea_null,dup_null,ZSB,RF_REG",1.988155,0.6209957599639893,"(500, 14)",https
Employee Satisfaction Index_salary,salary,"imp_null,OE,nor_null,fea_null,dup_null,ZSB,OLS",0.0100544979269023,0.0780019760131836,"(500, 14)",https
employee_attrition_train,Attrition,"imp_null,OE,ZS,fea_null,dup_null,out_null,LASSO",0.0956901109185875,0.1289865970611572,"(1029, 35)",https
employee_attrition_YearsAtCompany,YearsAtCompany,"imp_null,OE,MM,fea_null,dup_null,IQR,RF_REG",2.679511811023622,1.474093675613403,"(1029, 35)",https
employee_attrition_MonthlyIncome,MonthlyIncome,"imp_null,OE,ZS,fea_null,dup_null,out_null,RF_REG",10148.490975816992,1.9110009670257568,"(1029, 35)",https
employee_attrition_HourlyRate,HourlyRate,"imp_null,OE,MM,fea_null,dup_null,IQR,RF_REG",421.8392722627737,1.1979913711547852,"(1029, 35)",https
employee_attrition_YearsWithCurrManager,YearsWithCurrManager,"imp_null,OE,MM,fea_null,dup_null,IQR,LASSO",2.642084782134098,0.0839710235595703,"(1029, 35)",https
FIC,Mortality,"imp_null,OE,nor_null,fea_null,dup_null,out_null,RF_REG",0.0147148648648648,0.189000129699707,"(368, 60)",https
FIC_Follow,Follow.Up,"imp_null,OE,MM,fea_null,dup_null,IQR,LASSO",4.126639524290703,0.1789901256561279,"(368, 60)",https
FIC_num,num,"imp_null,enc_null,ZS,fea_null,dup_null,IQR,RF_REG",0.2887542857142857,0.6860017776489258,"(368, 60)",https
FIC_BGR,BGR,"imp_null,OE,nor_null,fea_null,dup_null,out_null,RF_REG",7.942618918918916,0.5620105266571045,"(368, 60)",https
Go To College,will_go_to_college,"imp_null,OE,ZS,fea_null,dup_null,out_null,RF_REG",0.098688,0.4419848918914795,"(1000, 11)",https
Go To College_average_grades,average_grades,"imp_null,OE,ZS,fea_null,dup_null,IQR,RF_REG",18166.315012060302,1.0900053977966309,"(1000, 11)",https
googleplaystore_reviews,Sentiment,"MEAN,OE,ZS,fea_null,dup_null,IQR,RF_REG",0.0156286805626267,4.725543022155762,"(64295, 5)",https
